SET-WRITE capture start (25G83 adaptation 3)
WRITE t=53861895 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=67371840 a4=0
WRITE t=53862002 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=98316 a3=0 a4=0
WRITE t=53862777 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=2 a2=409600 a3=0 a4=0
WRITE t=53862794 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=98324 a3=0 a4=0
WRITE t=100735921 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=98324 a3=15 a4=0
WRITE t=100736321 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=98324 a3=47 a4=0
WRITE t=100736331 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=2 a2=409600 a3=1 a4=0
WRITE t=100736341 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=251920384 a4=0
WRITE t=100736346 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=251920399 a4=0
WRITE t=100736355 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=520355855 a4=0
WRITE t=100736362 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=2 a2=960 a3=251658255 a4=0
WRITE t=100736385 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=2 a2=960 a3=520093711 a4=0
WRITE t=100823605 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=2 a2=960 a3=251658495 a4=0
WRITE t=100823614 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=2 a2=960 a3=251659248 a4=0
WRITE t=100823628 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=67371087 a4=0
WRITE t=100823635 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=251921407 a4=0
WRITE t=100823640 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=520356095 a4=0
WRITE t=100823652 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=336527951 a4=0
WRITE t=100823658 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=252642047 a4=0
WRITE t=100823661 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=67371840 a4=0
WRITE t=100823936 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=2 a2=409600 a3=0 a4=0
WRITE t=100823954 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=98324 a3=0 a4=0
WRITE t=100847304 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=98324 a3=15 a4=0
WRITE t=100847646 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=98324 a3=47 a4=0
WRITE t=100847652 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=2 a2=409600 a3=1 a4=0
WRITE t=100847661 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=251920384 a4=0
WRITE t=100847668 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=251920399 a4=0
WRITE t=100847679 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=520355855 a4=0
WRITE t=100847689 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=2 a2=960 a3=251658255 a4=0
WRITE t=100847713 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=2 a2=960 a3=520093711 a4=0
WRITE t=100947848 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=2 a2=960 a3=251658495 a4=0
WRITE t=100947857 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=2 a2=960 a3=251659248 a4=0
WRITE t=100947867 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=67371087 a4=0
WRITE t=100947873 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=251921407 a4=0
WRITE t=100947878 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=520356095 a4=0
WRITE t=100947889 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=336527951 a4=0
WRITE t=100947894 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=252642047 a4=0
WRITE t=100947897 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=67371840 a4=0
WRITE t=100948168 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=2 a2=409600 a3=0 a4=0
WRITE t=100948186 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=98324 a3=0 a4=0
WRITE t=101246999 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=98324 a3=15 a4=0
WRITE t=101247340 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=98324 a3=47 a4=0
WRITE t=101247346 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=2 a2=409600 a3=1 a4=0
WRITE t=101247356 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=251920384 a4=0
WRITE t=101247363 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=251920399 a4=0
WRITE t=101247374 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=520355855 a4=0
WRITE t=101247385 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=2 a2=960 a3=251658255 a4=0
WRITE t=101247409 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=2 a2=960 a3=520093711 a4=0
WRITE t=101412749 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=2 a2=960 a3=251658495 a4=0
WRITE t=101412762 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=2 a2=960 a3=251659248 a4=0
WRITE t=101412777 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=67371087 a4=0
